YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
200311,11,2.907407407,0.323512421,November,2.583894987
200312,12,-0.967741935,-4.168044077,December,3.200302142
200401,1,-7.204301075,-5.877342419,January,-1.326958656
200402,2,-4.885057471,-6.990482102,February,2.105424631
200403,3,-1.415770609,-3.841269841,March,2.425499232
200404,4,4.425925926,2.427875244,April,1.998050682
200405,5,10.12544803,9.522613065,May,0.602834963
200406,6,13,14.71189774,June,-1.711897738
200407,7,16.34408602,16.49888143,July,-0.15479541
200408,8,16.68458781,15.02207506,August,1.662512758
200409,9,12.25925926,9.91091954,September,2.348339719
200410,10,5.609318996,4.947222222,October,0.662096774
200411,11,-0.277777778,0.323512421,November,-0.601290198
200412,12,-0.448028674,-4.168044077,December,3.720015403
200501,1,-0.985663082,-5.877342419,January,4.891679337
200502,2,-5.674603175,-6.990482102,February,1.315878928
200503,3,-6.397849462,-3.841269841,March,-2.556579621
200504,4,4.351851852,2.427875244,April,1.923976608
200505,5,10.2688172,9.522613065,May,0.746204139
200506,6,14.12962963,14.71189774,June,-0.582268109
200507,7,18.92473118,16.49888143,July,2.425849751
200508,8,16.14695341,15.02207506,August,1.12487835
200509,9,12.27777778,9.91091954,September,2.366858238
200510,10,7.0609319,4.947222222,October,2.113709677
200511,11,3.62962963,0.323512421,November,3.306117209
200512,12,-3.387096774,-4.168044077,December,0.780947303
200601,1,-4.713261649,-5.877342419,January,1.16408077
200602,2,-9.087301587,-6.990482102,February,-2.096819485
200603,3,-6.666666667,-3.841269841,March,-2.825396825
200604,4,3.814814815,2.427875244,April,1.386939571
200605,5,10.5734767,9.522613065,May,1.050863637
200606,6,16.25925926,14.71189774,June,1.547361521
200607,7,18.90681004,16.49888143,July,2.407928604
200608,8,18.10035842,15.02207506,August,3.078283368
200609,9,13.68518519,9.91091954,September,3.774265645
200610,10,7.634408602,4.947222222,October,2.68718638
200611,11,1.648148148,0.323512421,November,1.324635728
200612,12,3.279569892,-4.168044077,December,7.44761397
200701,1,-2.275985663,-5.877342419,January,3.601356756
200702,2,-9.662698413,-6.990482102,February,-2.67221631
200703,3,2.831541219,-3.841269841,March,6.67281106
200704,4,5.185185185,2.427875244,April,2.757309942
200705,5,10.98566308,9.522613065,May,1.463050017
200706,6,15.46296296,14.71189774,June,0.751065225
200707,7,17.24014337,16.49888143,July,0.741261937
200708,8,17.15053763,15.02207506,August,2.128462579
200709,9,10.92592593,9.91091954,September,1.015006386
200710,10,6.433691756,4.947222222,October,1.486469534
200711,11,0.074074074,0.323512421,November,-0.249438346
200712,12,1.64874552,-4.168044077,December,5.816789597
200801,1,-0.215053763,-5.877342419,January,5.662288656
200802,2,0.344827586,-6.990482102,February,7.335309688
200803,3,-0.519713262,-3.841269841,March,3.32155658
200804,4,6.240740741,2.427875244,April,3.812865497
200805,5,10.73476703,9.522613065,May,1.21215396
200806,6,14.53703704,14.71189774,June,-0.174860701
200807,7,17.0609319,16.49888143,July,0.562050468
200808,8,14.80286738,15.02207506,August,-0.219207672
200809,9,9.592592593,9.91091954,September,-0.318326948
200810,10,8.225806452,4.947222222,October,3.278584229
200811,11,2.481481481,0.323512421,November,2.157969061
200812,12,0.430107527,-4.168044077,December,4.598151604
200901,1,-3.978494624,-5.877342419,January,1.898847795
200902,2,-5,-6.990482102,February,1.990482102
200903,3,-1.792114695,-3.841269841,March,2.049155146
200904,4,4.574074074,2.427875244,April,2.14619883
200905,5,11.4874552,9.522613065,May,1.964842132
200906,6,14.11111111,14.71189774,June,-0.600786627
200907,7,17.13261649,16.49888143,July,0.633735056
200908,8,16.07526882,15.02207506,August,1.053193762
200909,9,12.83333333,9.91091954,September,2.922413793
200910,10,3.315412186,4.947222222,October,-1.631810036
200911,11,2.555555556,0.323512421,November,2.232043135
200912,12,-5.340501792,-4.168044077,December,-1.172457715
201001,1,-12.56272401,-5.877342419,January,-6.685381595
201002,2,-9.126984127,-6.990482102,February,-2.136502025
201003,3,-2.580645161,-3.841269841,March,1.26062468
201004,4,4.611111111,2.427875244,April,2.183235867
201005,5,11.89964158,9.522613065,May,2.377028512
201006,6,14.88888889,14.71189774,June,0.17699115
201007,7,22.3297491,16.49888143,July,5.830867672
201008,8,17.6702509,15.02207506,August,2.648175841
201009,9,11.5,9.91091954,September,1.58908046
201010,10,5.053763441,4.947222222,October,0.106541219
201011,11,-1.703703704,0.323512421,November,-2.027216124
201012,12,-8.870967742,-4.168044077,December,-4.702923665
201101,1,-5.448028674,-5.877342419,January,0.429313745
201102,2,-11.94444444,-6.990482102,February,-4.953962342
201103,3,-1.594982079,-3.841269841,March,2.246287762
201104,4,5.962962963,2.427875244,April,3.535087719
201105,5,10.73476703,9.522613065,May,1.21215396
201106,6,17.37037037,14.71189774,June,2.658472632
201107,7,20.78853047,16.49888143,July,4.289649034
201108,8,16.82795699,15.02207506,August,1.805881934
201109,9,13.07407407,9.91091954,September,3.163154534
201110,10,7.670250896,4.947222222,October,2.723028674
201111,11,4.37037037,0.323512421,November,4.04685795
201112,12,2.186379928,-4.168044077,December,6.354424005
201201,1,-5,-5.877342419,January,0.877342419
201202,2,-8.16091954,-6.990482102,February,-1.170437438
201203,3,-0.143369176,-3.841269841,March,3.697900666
201204,4,3.907407407,2.427875244,April,1.479532164
201205,5,11.11111111,9.522613065,May,1.588498046
201206,6,13.61111111,14.71189774,June,-1.100786627
201207,7,17.90322581,16.49888143,July,1.404344375
201208,8,15.28673835,15.02207506,August,0.264663296
201209,9,11.75925926,9.91091954,September,1.848339719
201210,10,5.860215054,4.947222222,October,0.912992832
201211,11,3.240740741,0.323512421,November,2.91722832
201212,12,-6.630824373,-4.168044077,December,-2.462780296
201301,1,-5.860215054,-5.877342419,January,0.017127365
201302,2,-2.619047619,-6.990482102,February,4.371434483
201303,3,-6.756272401,-3.841269841,March,-2.91500256
201304,4,2.759259259,2.427875244,April,0.331384016
201305,5,13.29749104,9.522613065,May,3.774877974
201306,6,17.81481481,14.71189774,June,3.102917076
201307,7,18.02867384,16.49888143,July,1.529792403
201308,8,17.02508961,15.02207506,August,2.003014551
201309,9,11.59259259,9.91091954,September,1.681673052
201310,10,6.577060932,4.947222222,October,1.62983871
