YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
197607,07,12.18637992831541,13.529077759846993,July,-1.3426978315315825
197608,08,10.860215053763442,10.999253285543611,August,-0.1390382317801695
197609,09,2.768518518518518,5.786566227244194,September,-3.0180477087256756
197610,10,-3.7544802867383513,-0.898639207824554,October,-2.855841078913797
197611,11,-9.75,-7.547237915882001,November,-2.2027620841179987
197612,12,-12.186379928315413,-12.200504222100733,December,0.014124293785320319
197701,01,-14.094982078853045,-14.64543937708563,January,0.550457298232585
197702,02,-14.871031746031745,-14.055386178861797,February,-0.8156455671699483
197703,03,-10.85125448028674,-9.51064093046276,March,-1.3406135498239795
197704,04,-4.074074074074074,-3.0916347381864555,April,-0.9824393358876189
197705,05,1.9175627240143371,3.8651835643082935,May,-1.9476208402939563
197706,06,8.675925925925926,10.437808641975305,June,-1.7618827160493797
197707,07,12.939068100358421,13.529077759846993,July,-0.5900096594885724
197708,08,9.829749103942651,10.999253285543611,August,-1.16950418160096
197709,09,4.342592592592593,5.786566227244194,September,-1.4439736346516012
197710,10,-3.2885304659498193,-0.898639207824554,October,-2.3898912581252656
197711,11,-6.203703703703703,-7.547237915882001,November,1.343534212178298
197712,12,-12.123655913978494,-12.200504222100733,December,0.07684830812223886
197801,01,-15.555555555555557,-14.64543937708563,January,-0.9101161784699272
197802,02,-16.567460317460316,-14.055386178861797,February,-2.5120741385985195
197803,03,-8.906810035842295,-9.51064093046276,March,0.6038308946204651
197804,04,-5.333333333333334,-3.0916347381864555,April,-2.2416985951468784
197805,05,3.422939068100359,3.8651835643082935,May,-0.4422444962079344
197806,06,9.759259259259261,10.437808641975305,June,-0.678549382716044
197807,07,12.105734767025089,13.529077759846993,July,-1.4233429928219046
197808,08,9.229390681003586,10.999253285543611,August,-1.769862604540025
197809,09,5.620370370370369,5.786566227244194,September,-0.16619585687382443
197810,10,-2.132616487455197,-0.898639207824554,October,-1.2339772796306432
197811,11,-9.129629629629628,-7.547237915882001,November,-1.5823917137476267
197812,12,-20.17025089605735,-12.200504222100733,December,-7.969746673956617
197901,01,-17.61648745519713,-14.64543937708563,January,-2.971048078111501
197902,02,-15.039682539682541,-14.055386178861797,February,-0.9842963608207445
197903,03,-8.100358422939067,-9.51064093046276,March,1.4102825075236929
197904,04,-5.712962962962961,-3.0916347381864555,April,-2.6213282247765055
197905,05,4.71326164874552,3.8651835643082935,May,0.8480780844372262
