,YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
78,195807,07,15.340501792114695,16.498881431767344,July,-1.1583796396526491
79,195808,08,14.516129032258066,15.022075055187633,August,-0.5059460229295674
80,195809,09,10.407407407407408,9.910919540229894,September,0.4964878671775139
81,195810,10,6.111111111111113,4.947222222222226,October,1.163888888888887
82,195811,11,3.1851851851851847,0.3235124205661469,November,2.861672764619038
83,195812,12,-6.61290322580645,-4.1680440771349865,December,-2.4448591486714637
84,195901,01,-5.148148148148147,-5.8773424190800645,January,0.7291942709319175
85,195902,02,-2.3611111111111107,-6.99048210221395,February,4.62937099110284
86,195903,03,0.3225806451612903,-3.8412698412698436,March,4.163850486431134
87,195904,04,3.8703703703703707,2.4278752436647184,April,1.4424951267056523
88,195905,05,9.695340501792113,9.522613065326631,May,0.1727274364654825
89,195906,06,15.074074074074076,14.711897738446416,June,0.3621763356276606
90,195907,07,17.831541218637994,16.498881431767344,July,1.33265978687065
91,195908,08,16.965811965811966,15.022075055187633,August,1.9437369106243327
92,195909,09,8.812260536398467,9.910919540229894,September,-1.0986590038314272
93,195910,10,4.767025089605736,4.947222222222226,October,-0.18019713261649084
94,195911,11,1.4074074074074074,0.3235124205661469,November,1.0838949868412606
95,195912,12,-5.148148148148147,-4.1680440771349865,December,-0.9801040710131605
96,196001,01,-10.229885057471266,-5.8773424190800645,January,-4.352542638391202
97,196002,02,-8.927203065134101,-6.99048210221395,February,-1.936720962920151
98,196003,03,-4.5878136200716835,-3.8412698412698436,March,-0.7465437788018399
99,196004,04,1.8518518518518519,2.4278752436647184,April,-0.5760233918128665
100,196005,05,10.981481481481483,9.522613065326631,May,1.4588684161548517
101,196006,06,16.27777777777778,14.711897738446416,June,1.565880039331363
102,196007,07,18.06513409961686,16.498881431767344,July,1.5662526678495148
103,196008,08,15.10752688172043,15.022075055187633,August,0.08545182653279682
104,196009,09,10.111111111111112,9.910919540229894,September,0.20019157088121808
105,196010,10,3.2795698924731185,4.947222222222226,October,-1.667652329749108
106,196011,11,-0.6851851851851853,0.3235124205661469,November,-1.0086976057513322
107,196012,12,-0.3225806451612904,-4.1680440771349865,December,3.845463431973696
108,196101,01,-3.648148148148148,-5.8773424190800645,January,2.2291942709319166
109,196102,02,-0.3571428571428569,-6.99048210221395,February,6.6333392450710935
110,196103,03,0.35842293906810035,-3.8412698412698436,March,4.199692780337944
111,196104,04,2.629629629629629,2.4278752436647184,April,0.20175438596491047
